# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
2	"Am. St. R1ep."	"Am. St. Rep."	"Am. St. Rep."	canonical	"58 Am. St. R1ep. 1"
2	"Ap1p. Cas."	"App. Cas."	"L.R.A.C."	via-variant	"9 Ap1p. Cas. 857"
2	"App. D1iv."	"App. Div."	"A.D."	via-variant	"27 App. D1iv. 427"
2	"B. & A1d."	"B. & Ad."	"B & Ad"	via-variant	"3 B. & A1d. 377"
2	"B. M1on."	"B. Mon."	"B. Mon"	via-variant	"9 B. M1on. 210"
2	"B. M1on. (Ky.)"	"B. Mon. (Ky.)"	"B. Mon"	via-variant	"12 B. M1on. (Ky.) 212"
2	"B. M3on."	"B. Mon."	"B. Mon"	via-variant	"15 B. M3on. 270"
2	"B1I."	"BI."	"Black W"	via-variant	"13 B1I. 501"
2	"B1ibb"	"Bibb"	"Bibb"	canonical	"4 B1ibb, 268"
2	"B1ush (Ky.)"	"Bush (Ky.)"	"Bush"	via-variant	"0 B1ush (Ky.), 680"
2	"B3arb. (N. Y.)"	"Barb. (N. Y.)"	"Barb."	via-variant	"17 B3arb. (N. Y.) 149"
2	"Ba3rb."	"Barb."	"Barb."	canonical	"58 Ba3rb. 77"
2	"Bar1b."	"Barb."	"Barb."	canonical	"20 Bar1b. 252"
2	"Bin3g."	"Bing."	"Bing"	via-variant	"5 Bin3g. 193"
2	"C0h. D."	"Ch. D."	"L.R.Ch."	via-variant	"11 C0h. D. 353"
2	"C0i."	"Ci."	"L.R.Ch."	via-variant	"7 C0i. 55"
2	"C1al."	"Cal."	"Cal."	canonical	"40 C1al. 344"
2	"Co1n."	"Con."	"Conn."	via-variant	"21 Co1n. 481"
2	"Co1nn."	"Conn."	"Conn."	canonical	"48 Co1nn. 11"
2	"D1e G."	"De G."	"De G & Sm"	via-variant	"4 D1e G. 5"
2	"D1ing."	"Ding."	"Bing"	via-variant	"4 D1ing. 11"
2	"E3q."	"Eq."	"C.L.R."	via-variant	"5 E3q. 91"
2	"El. & B1I."	"El. & BI."	"El & Bl"	via-variant	"6 El. & B1I. 32"
2	"Eng. L. & E1q."	"Eng. L. & Eq."	"C.L.R."	via-variant	"21 Eng. L. & E1q., 28"
2	"F1Id."	"FId."	"Fla."	via-variant	"221 F1Id. 1"
2	"F1la."	"Fla."	"Fla."	canonical	"17 F1la. 289"
2	"F4ed."	"Fed."	"F."	via-variant	"46 F4ed. 6"
2	"Fe1d."	"Fed."	"F."	via-variant	"17 Fe1d. 209"
2	"Fed. Re1p."	"Fed. Rep."	"F."	via-variant	"52 Fed. Re1p., 930"
2	"H1are"	"Hare"	"Hare"	canonical	"7 H1are 251"
2	"H1ow. Pr. (N. Y.)"	"How. Pr. (N. Y.)"	"How. Pr."	via-variant	"22 H1ow. Pr. (N. Y.) 1"
2	"H1umph."	"Humph."	"Hum."	via-variant	"6 H1umph. 313"
2	"H1un."	"Hun."	"Hun"	via-variant	"56 H1un. 475"
2	"H2ow."	"How."	"How."	canonical	"29 H2ow., 97"
2	"How. P1r."	"How. Pr."	"How. Pr."	canonical	"81 How. P1r., 508"
2	"I1ill (N. Y.)"	"Iill (N. Y.)"	"Hill (N.Y.)"	via-variant	"3 I1ill (N. Y.) 262"
2	"I1nd. App."	"Ind. App."	"Ind. App."	canonical	"19 I1nd. App. 272"
2	"I1o."	"Io."	"Iowa"	via-variant	"2 I1o. 591"
2	"I3ll"	"Ill"	"Ill."	via-variant	"1 I3ll 111"
2	"I9nd."	"Ind."	"Ind."	canonical	"193 I9nd. 347"
2	"Ind. Ap1p."	"Ind. App."	"Ind. App."	canonical	"10 Ind. Ap1p. 221"
2	"Joh1n."	"John."	"Johns."	via-variant	"4 Joh1n. 150"
2	"John1s."	"Johns."	"Johns."	canonical	"9 John1s. 349"
2	"K1ans."	"Kans."	"Kan."	via-variant	"27 K1ans. 5"
2	"L. J. E1x."	"L. J. Ex."	"L.J.Ex."	via-variant	"15 L. J. E1x. 191"
2	"L. e1d."	"L. ed."	"L. Ed."	via-variant	"20 L. e1d. 8"
2	"M. & R1y."	"M. & Ry."	"M. & Ry."	canonical	"3 M. & R1y. 121"
2	"M0oo. & R."	"Moo. & R."	"M & Rob"	via-variant	"1 M0oo. & R. 393"
2	"M1ad."	"Mad."	"Madd"	via-variant	"5 M1ad. 408"
2	"M1arsh."	"Marsh."	"A.K. Marsh."	via-variant	"2 M1arsh. 1"
2	"M1ason"	"Mason"	"Mason"	canonical	"4 M1ason, 4"
2	"M1ass"	"Mass"	"Mass."	via-variant	"12 M1ass, 20"
2	"M1il."	"Mil."	"Md."	via-variant	"34 M1il. 001"
2	"M1oo. & P."	"Moo. & P."	"Moo. & P."	canonical	"4 M1oo. & P. 36"
2	"M3acph."	"Macph."	"Macph."	canonical	"2 M3acph. 1357"
2	"M3add."	"Madd."	"Madd"	via-variant	"6 M3add. 364"
2	"M3isc."	"Misc."	"Misc."	canonical	"0 M3isc. 427"
2	"M3o. Ap."	"Mo. Ap."	"Mo. App."	via-variant	"45 M3o. Ap. 172"
2	"M3ont."	"Mont."	"Mont."	canonical	"22 M3ont. 312"
2	"M3y. & Cr."	"My. & Cr."	"My & Cr"	via-variant	"4 M3y. & Cr. 264"
