# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
#UNRESOLVED	1	"N. C. G4S) il."	"N. C. GS) il."	"98 N. C. G4S)\n\t\t\til. 765"
#UNRESOLVED	1	"N. Car. r5io"	"N. Car. rio"	"109 N. Car. r5io 4537"
#UNRESOLVED	1	"N. DR. I1NA. O E."	"N. DR. INA. O E."	"60 N. DR. I1NA. O E.\n\t\t\t1"
#UNRESOLVED	1	"N. E. C9S."	"N. E. CS."	"23 N. E. C9S.\n\t\t\t03"
#UNRESOLVED	1	"N. E. G4S"	"N. E. GS"	"12 N. E. G4S, 60"
#UNRESOLVED	1	"N. E. G5o."	"N. E. Go."	"57 N. E. G5o. 49"
#UNRESOLVED	1	"N. E. I3S. ."	"N. E. IS. ."	"55 N. E. I3S. . 4"
#UNRESOLVED	1	"N. E. R3p."	"N. E. Rp."	"40 N. E. R3p. 20"
#UNRESOLVED	1	"N. E. Rep. S5G."	"N. E. Rep. SG."	"43 N. E. Rep. S5G.\n\t\t\t2"
#UNRESOLVED	1	"N. E. S0O."	"N. E. SO."	"54 N. E. S0O. 317"
#UNRESOLVED	1	"N. E. S2S"	"N. E. SS"	"37 N. E. S2S, 2"
#UNRESOLVED	1	"N. E. S4S."	"N. E. SS."	"26 N. E. S4S. 11"
#UNRESOLVED	1	"N. E. S5S."	"N. E. SS."	"33 N. E. S5S. 20"
#UNRESOLVED	1	"N. E. S5i."	"N. E. Si."	"12 N. E. S5i., 17"
#UNRESOLVED	1	"N. E. S9S."	"N. E. SS."	"6 N. E. S9S. 86"
#UNRESOLVED	1	"N. E. g9o. Sec."	"N. E. go. Sec."	"78 N. E. g9o.\n\t\t\tSec. 238"
#UNRESOLVED	1	"N. E. t9l."	"N. E. tl."	"29 N. E. t9l.\n\t\t\t12"
#UNRESOLVED	1	"N. E. ti3S"	"N. E. tiS"	"91 N. E. ti3S, 139"
#UNRESOLVED	1	"N. E., iC8P"	"N. E., iCP"	"58 N. E., iC8P, 83"
#UNRESOLVED	1	"N. E.. S5i"	"N. E.. Si"	"8 N. E.. S5i, 20"
#UNRESOLVED	1	"N. E1J."	"N. EJ."	"1 N. E1J. 21"
#UNRESOLVED	1	"N. East. I1i.p."	"N. East. Ii.p."	"13 N. East. I1i.p. 360"
#UNRESOLVED	1	"N. H. I0o. Vultee"	"N. H. Io. Vultee"	"32 N. H. I0o. Vultee, 12"
#UNRESOLVED	1	"N. H. St. t6i"	"N. H. St. ti"	"52 N. H. St. t6i, 1727"
#UNRESOLVED	1	"N. HIa7p. sep."	"N. HIap. sep."	"2 N. HIa7p. sep. 44"
#UNRESOLVED	1	"N. I1E. oep."	"N. IE. oep."	"01 N. I1E. oep. 3"
#UNRESOLVED	1	"N. J. E1A."	"N. J. EA."	"23 N. J. E1A. 526"
#UNRESOLVED	1	"N. J. E1r."	"N. J. Er."	"20 N. J. E1r. 421"
#UNRESOLVED	1	"N. J. EIq. G6l. N."	"N. J. EIq. Gl. N."	"30 N. J. EIq. G6l. N. 0"
#UNRESOLVED	1	"N. J. I1E."	"N. J. IE."	"51 N. J. I1E. 42"
#UNRESOLVED	1	"N. J. I1aw"	"N. J. Iaw"	"60 N. J. I1aw, 457"
#UNRESOLVED	1	"N. J. Law i6F"	"N. J. Law iF"	"23 N. J. Law i6F, 218"
#UNRESOLVED	1	"N. J. l.aw0v"	"N. J. l.awv"	"12 N. J. l.aw0v 04"
#UNRESOLVED	1	"N. Ru1e"	"N. Rue"	"77 N. Ru1e 12"
#UNRESOLVED	1	"N. S., r6r."	"N. S., rr."	"4 N. S., r6r. 113"
#UNRESOLVED	1	"N. V9Y. S."	"N. VY. S."	"1 N. V9Y. S. 110"
#UNRESOLVED	1	"N. W inN. i4t."	"N. W inN. it."	"2 N. W inN. i4t. 2"
#UNRESOLVED	1	"N. W. G4S."	"N. W. GS."	"63 N. W. G4S. 31"
#UNRESOLVED	1	"N. W. G9L"	"N. W. GL"	"38 N. W. G9L 1"
#UNRESOLVED	1	"N. W. I1Oq"	"N. W. IOq"	"5 N. W. I1Oq, 121"
#UNRESOLVED	1	"N. W. I5i.."	"N. W. Ii.."	"1 N. W. I5i.. 12"
#UNRESOLVED	1	"N. W. I6o"	"N. W. Io"	"24 N. W. I6o 357"
#UNRESOLVED	1	"N. W. R. CS S6a"	"N. W. R. CS Sa"	"78 N. W. R. CS S6a, 27"
#UNRESOLVED	1	"N. W. R1p."	"N. W. Rp."	"7 N. W. R1p. 9"
#UNRESOLVED	1	"N. W. Rep. I2I."	"N. W. Rep. II."	"6 N. W. Rep. I2I.\n\t\t\t323"
#UNRESOLVED	1	"N. W. Rep. S8i."	"N. W. Rep. Si."	"48 N. W. Rep. S8i.\n\t\t\t5"
#UNRESOLVED	1	"N. W. S2S."	"N. W. SS."	"90 N. W. S2S. 10"
#UNRESOLVED	1	"N. W. S3l"	"N. W. Sl"	"75 N. W. S3l 2"
#UNRESOLVED	1	"N. W. Supp. S4S"	"N. W. Supp. SS"	"10 N. W. Supp. S4S, 32"
#UNRESOLVED	1	"N. W. W2SO"	"N. W. WSO"	"170 N. W. W2SO, 3"
#UNRESOLVED	1	"N. W. af4a."	"N. W. afa."	"01 N. W. af4a. 553"
#UNRESOLVED	1	"N. W. l1p."	"N. W. lp."	"57 N. W. l1p. 9"
#UNRESOLVED	1	"N. WV. S5r,."	"N. WV. Sr,."	"77 N. WV. S5r,. 107"
#UNRESOLVED	1	"N. Y i9o."	"N. Y io."	"34 N. Y i9o.\n\t\t\t47"
#UNRESOLVED	1	"N. Y. .i2ll."	"N. Y. .ill."	"12 N. Y. .i2ll. 1"
#UNRESOLVED	1	"N. Y. A1Ip. Div."	"N. Y. AIp. Div."	"167 N. Y. A1Ip. Div. 704"
#UNRESOLVED	1	"N. Y. C2G."	"N. Y. CG."	"114 N. Y. C2G. 21"
#UNRESOLVED	1	"N. Y. C3G)"	"N. Y. CG)"	"70 N. Y. C3G) 527"
#UNRESOLVED	1	"N. Y. G3s"	"N. Y. Gs"	"86 N. Y. G3s\n\t\t\t284"
#UNRESOLVED	1	"N. Y. G5G, reversing"	"N. Y. GG, reversing"	"50 N. Y. G5G, reversing 1"
#UNRESOLVED	1	"N. Y. I6ó"	"N. Y. Ió"	"51 N. Y. I6ó, 1"
#UNRESOLVED	1	"N. Y. I8I."	"N. Y. II."	"13 N. Y. I8I. 104"
#UNRESOLVED	1	"N. Y. I9o."	"N. Y. Io."	"6 N. Y. I9o. 1910"
#UNRESOLVED	1	"N. Y. JE1q."	"N. Y. JEq."	"63 N. Y. JE1q. 531"
#UNRESOLVED	1	"N. Y. L7g. Obs."	"N. Y. Lg. Obs."	"5 N. Y. L7g. Obs., 16"
#UNRESOLVED	1	"N. Y. Leg. O0s."	"N. Y. Leg. Os."	"10 N. Y. Leg. O0s., 101"
#UNRESOLVED	1	"N. Y. S. S6S."	"N. Y. S. SS."	"110 N. Y. S. S6S. 126"
#UNRESOLVED	1	"N. Y. S. i4S"	"N. Y. S. iS"	"57 N. Y. S. i4S, 1"
#UNRESOLVED	1	"N. Y. SIl1I."	"N. Y. SIlI."	"17 N. Y. SIl1I. 1"
#UNRESOLVED	1	"N. Y. SIppI2I."	"N. Y. SIppII."	"11 N. Y. SIppI2I. 127"
#UNRESOLVED	1	"N. Y. SIup1p."	"N. Y. SIupp."	"20 N. Y. SIup1p. 458"
#UNRESOLVED	1	"N. Y. Siup1P."	"N. Y. SiupP."	"9 N. Y. Siup1P. 8163"
#UNRESOLVED	1	"N. Y. St. R1pr."	"N. Y. St. Rpr."	"38 N. Y. St. R1pr. 310"
#UNRESOLVED	1	"N. Y. St. ecp. C7S"	"N. Y. St. ecp. CS"	"40 N. Y. St. ecp. C7S, 1"
#UNRESOLVED	1	"N. Y. Supp. S3S."	"N. Y. Supp. SS."	"76 N. Y. Supp. S3S. 34"
#UNRESOLVED	1	"N. Y. Supp. S4S"	"N. Y. Supp. SS"	"33 N. Y. Supp. S4S, 24"
#UNRESOLVED	1	"N. Y. Supp. S6S."	"N. Y. Supp. SS."	"9 N. Y. Supp. S6S. 47"
#UNRESOLVED	1	"N. Y. V. Sb. I1W."	"N. Y. V. Sb. IW."	"32 N. Y. V. Sb. I1W. 9"
#UNRESOLVED	1	"N. Y. Y1G."	"N. Y. YG."	"7 N. Y. Y1G. 2"
#UNRESOLVED	1	"N. Y. as C4o.."	"N. Y. as Co.."	"1 N. Y. as C4o.. 9"
#UNRESOLVED	1	"N. Y. i8o."	"N. Y. io."	"70 N. Y. i8o. 20"
#UNRESOLVED	1	"N. Y. l1i"	"N. Y. li"	"70 N. Y. l1i, 9"
#UNRESOLVED	1	"N. Y. r8S"	"N. Y. rS"	"08 N. Y. r8S, 5"
#UNRESOLVED	1	"N. Y., M4B."	"N. Y., MB."	"79 N. Y., M4B.\n\t\t\t748"
#UNRESOLVED	1	"N. i2nL"	"N. inL"	"7 N. i2nL 1"
#UNRESOLVED	1	"N. i4t. Compare pp."	"N. it. Compare pp."	"21 N. i4t. Compare pp. 33"
#UNRESOLVED	1	"N. j. E1i."	"N. j. Ei."	"7 N. j. E1i. 302"
#UNRESOLVED	1	"N. l1amp. Rep."	"N. lamp. Rep."	"2 N. l1amp. Rep. 176"
#UNRESOLVED	1	"N. y. S2lp."	"N. y. Slp."	"24 N. y. S2lp. 10"
#UNRESOLVED	1	"N... E1q."	"N... Eq."	"47 N... E1q. 396"
#UNRESOLVED	1	"N.J. E1M."	"N.J. EM."	"44 N.J. E1M. 302"
#UNRESOLVED	1	"N.W. e3cp."	"N.W. ecp."	"34 N.W. e3cp. 059"
#UNRESOLVED	1	"N.Y. Week. D1g."	"N.Y. Week. Dg."	"13 N.Y. Week. D1g. 200"
#UNRESOLVED	1	"N.Y. Y0S."	"N.Y. YS."	"2 N.Y. Y0S. 14"
#UNRESOLVED	1	"N.Y. i6t"	"N.Y. it"	"121 N.Y. i6t, 18"
#UNRESOLVED	1	"N1NTMENT."	"NNTMENT."	"1 N1NTMENT. 2"
#UNRESOLVED	1	"N1V . Y."	"NV . Y."	"4 N1V . Y. 12"
#UNRESOLVED	1	"N1acAr. (D. C.)"	"NacAr. (D. C.)"	"3 N1acAr. (D. C.) 379"
#UNRESOLVED	1	"N1arslt."	"Narslt."	"2 N1arslt. 101"
#UNRESOLVED	1	"N1ass."	"Nass."	"129 N1ass. 268"
#UNRESOLVED	1	"N1b. .,iO"	"Nb. .,iO"	"7 N1b. .,iO, 10"
#UNRESOLVED	1	"N1eliv."	"Neliv."	"3 N1eliv. 210"
#UNRESOLVED	1	"N1i,."	"Ni,."	"67 N1i,. 216"
#UNRESOLVED	1	"N1l)."	"Nl)."	"13 N1l). 28"
#UNRESOLVED	1	"N3T. Y.o"	"NT. Y.o"	"106 N3T. Y.o 06"
#UNRESOLVED	1	"N3ulM."	"NulM."	"1 N3ulM. 13"
#UNRESOLVED	1	"N5c. a ..."	"Nc. a ..."	"1 N5c. a ... 725"
#UNRESOLVED	1	"N7J."	"NJ."	"13 N7J. 1"
#UNRESOLVED	1	"N7V. . R."	"NV. . R."	"10 N7V. . R. 281"
#UNRESOLVED	1	"N7v t.S"	"Nv t.S"	"1 N7v t.S 341"
#UNRESOLVED	1	"NEW JER1SEY."	"NEW JERSEY."	"1\n\t\t\tNEW JER1SEY.\n\t\t\t451"
#UNRESOLVED	1	"NIM7T"	"NIMT"	"111 NIM7T 1"
#UNRESOLVED	1	"NW S1S, AnnCas"	"NW SS, AnnCas"	"135 NW S1S, AnnCas 1913"
#UNRESOLVED	1	"Nat. B1ank. Rcog."	"Nat. Bank. Rcog."	"2 Nat. B1ank. Rcog. 19"
#UNRESOLVED	1	"Nat. Bn1nkr. News"	"Nat. Bnnkr. News"	"1 Nat. Bn1nkr. News, 483"
#UNRESOLVED	1	"Nat.ian V. Slhiv0r.."	"Nat.ian V. Slhivr.."	"9 Nat.ian V. Slhiv0r.. 71"
#UNRESOLVED	1	"Ncl. SS9n"	"Ncl. SSn"	"4 Ncl. SS9n 97"
#UNRESOLVED	1	"Ncr. & M3an."	"Ncr. & Man."	"6 Ncr. & M3an. 303"
#UNRESOLVED	1	"Ncr. S3C)"	"Ncr. SC)"	"10 Ncr. S3C), 327"
#UNRESOLVED	1	"Ncve. & i1M."	"Ncve. & iM."	"2 Ncve. & i1M. 21"
#UNRESOLVED	1	"NeCglige9co. Saunders"	"NeCgligeco. Saunders"	"7 NeCglige9co. Saunders 2"
#UNRESOLVED	1	"Nehr. R3l"	"Nehr. Rl"	"27 Nehr. R3l, 114"
#UNRESOLVED	1	"Neil, M3atter of"	"Neil, Matter of"	"252 Neil, M3atter of, 90"
#UNRESOLVED	1	"Nev. S C. . E1sp."	"Nev. S C. . Esp."	"4 Nev. S C. . E1sp. 33"
#UNRESOLVED	1	"New H1aven c. R.R."	"New Haven c. R.R."	"486 New H1aven c. R.R. 60"
#UNRESOLVED	1	"New P1ep."	"New Pep."	"1 New P1ep. 140"
#UNRESOLVED	1	"New P2e."	"New Pe."	"1 New P2e. 69"
#UNRESOLVED	1	"New lln1am."	"New llnam."	"2 New lln1am. 1"
#UNRESOLVED	1	"Newl) AI1h ."	"Newl) AIh ."	"1 Newl) AI1h . 5"
#UNRESOLVED	1	"NiI1III4IIIIV V"	"NiIIIIIIIIV V"	"4 NiI1III4IIIIV V 5"
#UNRESOLVED	1	"Nigi ofl iIy ic1l"	"Nigi ofl iIy icl"	"1 Nigi ofl iIy ic1l 1"
#UNRESOLVED	1	"Nnt. I3k. Cna."	"Nnt. Ik. Cna."	"2 Nnt. I3k. Cna. 12"
#UNRESOLVED	1	"No. ó5i"	"No. ói"	"1 No. ó5i, 11"
#UNRESOLVED	1	"No.e4L"	"No.eL"	"2 No.e4L 56"
#UNRESOLVED	1	"Normllie r. H1eist"	"Normllie r. Heist"	"111 Normllie r. H1eist, 5"
#UNRESOLVED	1	"Nort1wu. Rep."	"Nortwu. Rep."	"22 Nort1wu. Rep., 535"
#UNRESOLVED	1	"Northeastern R1ep."	"Northeastern Rep."	"12 Northeastern R1ep., 31"
#UNRESOLVED	1	"Nortisam. i8i.."	"Nortisam. ii.."	"12 Nortisam. i8i.. 79"
#UNRESOLVED	1	"Notii, io C8luppi."	"Notii, io Cluppi."	"6 Notii, io C8luppi. 1"
#UNRESOLVED	1	"Nott& M3cC."	"Nott& McC."	"2 Nott& M3cC. 312"
#UNRESOLVED	1	"Nov. & M5an."	"Nov. & Man."	"4 Nov. & M5an. 637"
#UNRESOLVED	1	"Now., Acts o2f"	"Now., Acts of"	"341 Now., Acts o2f 1"
#UNRESOLVED	1	"Nw Al2exlco........."	"Nw Alexlco........."	"0 Nw Al2exlco......... 37"
#UNRESOLVED	1	"O E2m.Doin"	"O Em.Doin"	"1 O E2m.Doin, 130"
#UNRESOLVED	1	"O bV1lil"	"O bVlil"	"1 O bV1lil 11"
#UNRESOLVED	1	"O)B1RAS DE lIISTORIA"	"O)BRAS DE lIISTORIA"	"1 O)B1RAS DE lIISTORIA 1"
#UNRESOLVED	1	"O0Mo (lamm.)"	"OMo (lamm.)"	"7 O0Mo (lamm.) 354"
#UNRESOLVED	1	"O0a o O l O"	"Oa o O l O"	"6 O0a o O l O 08"
#UNRESOLVED	1	"O0bcrv."	"Obcrv."	"2 O0bcrv. 510"
#UNRESOLVED	1	"O0e. b"	"Oe. b"	"31 O0e. b 2"
#UNRESOLVED	1	"O0good, laac"	"Ogood, laac"	"200 O0good, laac 2"
#UNRESOLVED	1	"O0ho l),.."	"Oho l),.."	"4 O0ho l),.. 124"
#UNRESOLVED	1	"O0io St. R."	"Oio St. R."	"5 O0io St. R. 45"
#UNRESOLVED	1	"O0k. Cr."	"Ok. Cr."	"3 O0k. Cr. 72"
#UNRESOLVED	1	"O0lo St."	"Olo St."	"31 O0lo St. 211"
#UNRESOLVED	1	"O0m. qe, Q."	"Om. qe, Q."	"3 O0m. qe, Q. 1"
#UNRESOLVED	1	"O0o. IV. c."	"Oo. IV. c."	"8 O0o. IV. c. 29"
#UNRESOLVED	1	"O0p.Atty. Gen."	"Op.Atty. Gen."	"28 O0p.Atty. Gen., 140"
#UNRESOLVED	1	"O0pins. At. Gen."	"Opins. At. Gen."	"5 O0pins. At. Gen., 39"
#UNRESOLVED	1	"O0r. Gaz."	"Or. Gaz."	"13 O0r. Gaz. 32"
#UNRESOLVED	1	"O0s."	"Os."	"190 O0s. 91"
#UNRESOLVED	1	"O0s. for the year"	"Os. for the year"	"47 O0s. for the year 1801"
#UNRESOLVED	1	"O0tober"	"Otober"	"901 O0tober 22"
#UNRESOLVED	1	"O1F"	"OF"	"1 O1F 1"
#UNRESOLVED	1	"O1do St."	"Odo St."	"1 O1do St. 371"
#UNRESOLVED	1	"O1hlo C. C."	"Ohlo C. C."	"12 O1hlo C. C. 5"
#UNRESOLVED	1	"O1iIo"	"OiIo"	"30 O1iIo 8"
#UNRESOLVED	1	"O1io"	"Oio"	"54 O1io 6"
#UNRESOLVED	1	"O1k. D.)"	"Ok. D.)"	"3 O1k. D.), 1485"
#UNRESOLVED	1	"O1l. D."	"Ol. D."	"3 O1l. D. 807"
#UNRESOLVED	1	"O1nerigon"	"Onerigon"	"2 O1nerigon, 474"
#UNRESOLVED	1	"O1thi April"	"Othi April"	"19\n\t\t\tO1thi April, 10"
#UNRESOLVED	1	"O2C y, C. L."	"OC y, C. L."	"3 O2C y, C. L. 312"
#UNRESOLVED	1	"O2hin St."	"Ohin St."	"8 O2hin St. 39"
#UNRESOLVED	1	"O3a."	"Oa."	"88 O3a. 203"
#UNRESOLVED	1	"O3ce. & WV."	"Oce. & WV."	"1 O3ce. & WV. 418"
#UNRESOLVED	1	"O3entchici nub"	"Oentchici nub"	"000 O3entchici nub 300"
#UNRESOLVED	1	"O3l.. pt. , p."	"Ol.. pt. , p."	"7 O3l.. pt. , p. 138"
#UNRESOLVED	1	"O9O. U."	"OO. U."	"7 O9O. U. 0"
#UNRESOLVED	1	"OARRIN9TON AND PAYNE"	"OARRINTON AND PAYNE"	"7 OARRIN9TON AND PAYNE 35"
#UNRESOLVED	1	"OF SAT1ISFACT1IO."	"OF SATISFACTIO."	"3 OF SAT1ISFACT1IO., 10"
#UNRESOLVED	1	"OF THE JR1GUTS"	"OF THE JRGUTS"	"698\n\t\t\tOF THE JR1GUTS 387"
#UNRESOLVED	1	"OI Ied. R1ep."	"OI Ied. Rep."	"1 OI Ied. R1ep. 25"
#UNRESOLVED	1	"OP MEDEMEAKOEL0B"	"OP MEDEMEAKOELB"	"456\n\t\t\tOP MEDEMEAKOEL0B 2"
#UNRESOLVED	1	"OP P1EER"	"OP PEER"	"014 OP P1EER 1"
#UNRESOLVED	1	"OVERPAYMENT I1T"	"OVERPAYMENT IT"	"346 OVERPAYMENT I1T, 262"
#UNRESOLVED	1	"Oa1Al. XIX.J"	"OaAl. XIX.J"	"3 Oa1Al. XIX.J\n\t\t\t19"
#UNRESOLVED	1	"Of ESLOsE1S."	"Of ESLOsES."	"6\n\t\t\tOf ESLOsE1S.\n\t\t\t41"
#UNRESOLVED	1	"Of S3ltatutes"	"Of Sltatutes"	"12 Of S3ltatutes 3"
#UNRESOLVED	1	"Of d1efeet not t"	"Of defeet not t"	"141 Of d1efeet not t 11"
#UNRESOLVED	1	"Of, o1ttlot("	"Of, ottlot("	"4 Of, o1ttlot(, 87"
#UNRESOLVED	1	"OfE7l óM E7i"	"OfEl óM Ei"	"01 OfE7l óM E7i 4"
#UNRESOLVED	1	"Oh0o"	"Oho"	"3 Oh0o, 615"
#UNRESOLVED	1	"Oh0o State"	"Oho State"	"0 Oh0o State, 9"
#UNRESOLVED	1	"Oh1io ,st."	"Ohio ,st."	"10 Oh1io ,st. 27"
#UNRESOLVED	1	"Oh1io ft."	"Ohio ft."	"28 Oh1io ft. 11"
#UNRESOLVED	1	"Oh1o"	"Oho"	"5 Oh1o, 455"
#UNRESOLVED	1	"Oh1o St."	"Oho St."	"1 Oh1o\n\t\t\tSt. 268"
#UNRESOLVED	1	"OhS &C1P"	"OhS &CP"	"4 OhS &C1P 209"
#UNRESOLVED	1	"Ohi1o lee."	"Ohio lee."	"2\n\t\t\tOhi1o lee. 137"
#UNRESOLVED	1	"Ohio C1r. Ct."	"Ohio Cr. Ct."	"5 Ohio C1r. Ct. 433"
#UNRESOLVED	1	"Ohio E8ate"	"Ohio Eate"	"29 Ohio E8ate, 70"
#UNRESOLVED	1	"Ohio R1p."	"Ohio Rp."	"5 Ohio R1p. 30"
#UNRESOLVED	1	"Ohio St. C3C"	"Ohio St. CC"	"50 Ohio St. C3C, 36"
#UNRESOLVED	1	"Ohio St. I7I"	"Ohio St. II"	"5 Ohio St. I7I 875"
#UNRESOLVED	1	"Ohio St. i0uo."	"Ohio St. iuo."	"27 Ohio St. i0uo. 22"
#UNRESOLVED	1	"Ohio Wkly. L. B3ul."	"Ohio Wkly. L. Bul."	"48 Ohio Wkly. L. B3ul. 21"
#UNRESOLVED	1	"Ohio, i8x."	"Ohio, ix."	"29 Ohio, i8x. 226"
#UNRESOLVED	1	"Oi0ja Rep."	"Oija Rep."	"6 Oi0ja Rep. 287"
#UNRESOLVED	1	"Oi4l"	"Oil"	"411 Oi4l 57"
#UNRESOLVED	1	"Oiiel4lriC IHis"	"OiiellriC IHis"	"4 Oiiel4lriC IHis 8241"
#UNRESOLVED	1	"Ol1ca."	"Olca."	"69 Ol1ca. 79"
#UNRESOLVED	1	"Olhil St. I1I."	"Olhil St. II."	"15 Olhil St. I1I. 8"
#UNRESOLVED	1	"Oli0o St."	"Olio St."	"12 Oli0o St. 617"
#UNRESOLVED	1	"Olie0elI , illtuii"	"OlieelI , illtuii"	"133 Olie0elI , illtuii 02"
#UNRESOLVED	1	"Ollade a. David3on."	"Ollade a. Davidon."	"484 Ollade a. David3on. 4"
#UNRESOLVED	1	"On the i8th November"	"On the ith November"	"2 On the i8th November 14"
#UNRESOLVED	1	"Opint At. Ce2n.."	"Opint At. Cen.."	"0 Opint At. Ce2n.. 577"
#UNRESOLVED	1	"Or ORDER. In th1e"	"Or ORDER. In the"	"3 Or ORDER. In th1e 1"
#UNRESOLVED	1	"Or3gcn."	"Orgcn."	"8 Or3gcn. 1"
#UNRESOLVED	1	"Orct7efnvillu tI ."	"Orctefnvillu tI ."	"1 Orct7efnvillu tI . 11"
#UNRESOLVED	1	"Ord. XL1I. rr."	"Ord. XLI. rr."	"8 Ord. XL1I. rr. 20"
#UNRESOLVED	1	"Ordert X3L"	"Ordert XL"	"140 Ordert X3L 8"
#UNRESOLVED	1	"Ore. I1o"	"Ore. Io"	"45 Ore. I1o, 75"
#UNRESOLVED	1	"Oreg. S6a."	"Oreg. Sa."	"11 Oreg. S6a. 6"
#UNRESOLVED	1	"Os2erhardt lB"	"Oserhardt lB"	"14 Os2erhardt lB 1239"
#UNRESOLVED	1	"Ot1D Jro"	"OtD Jro"	"6 Ot1D Jro 8703"
#UNRESOLVED	1	"Ot1i)"	"Oti)"	"1 Ot1i) 42"
#UNRESOLVED	1	"Ounyn7awnle"	"Ounynawnle"	"0 Ounyn7awnle, 17"
#UNRESOLVED	1	"OvY3iuIM PA VeR"	"OvYiuIM PA VeR"	"362 OvY3iuIM PA VeR 205"
#UNRESOLVED	1	"Oxsen2East, East"	"OxsenEast, East"	"140 Oxsen2East, East, 411"
#UNRESOLVED	1	"P. & W. I8I"	"P. & W. II"	"2 P. & W.\n\t\t\tI8I 25"
#UNRESOLVED	1	"P. C. ób3S, (n) Kel."	"P. C. óbS, (n) Kel."	"3 P. C. ób3S, (n) Kel. 6"
#UNRESOLVED	1	"P. C5S."	"P. CS."	"92 P. C5S. 65"
#UNRESOLVED	1	"P. F. S. i6o"	"P. F. S. io"	"22 P. F. S. i6o 173"
#UNRESOLVED	1	"P. JI1ns."	"P. JIns."	"1 P. JI1ns. 92"
#UNRESOLVED	1	"P. S1S."	"P. SS."	"117 P. S1S. 59"
#UNRESOLVED	1	"P. W1U"	"P. WU"	"1 P. W1U, 703"
#UNRESOLVED	1	"P. W1m. ."	"P. Wm. ."	"2 P. W1m. . 1"
#UNRESOLVED	1	"P. W1n."	"P. Wn."	"1 P. W1n. 777"
#UNRESOLVED	1	"P. Wins. S7o."	"P. Wins. So."	"1 P. Wins. S7o. 3"
#UNRESOLVED	1	"P. Wuns. SI0ó"	"P. Wuns. SIó"	"3 P. Wuns. SI0ó, 730"
#UNRESOLVED	1	"P.ets3i r V."	"P.etsi r V."	"9 P.ets3i r V. 1"
#UNRESOLVED	1	"P0A,, d, iiIi"	"PA,, d, iiIi"	"4\n\t\t\tP0A,, d, iiIi, 4"
#UNRESOLVED	1	"P1IRACY AND"	"PIRACY AND"	"1\n\t\t\tP1IRACY AND 3"
#UNRESOLVED	1	"P1L"	"PL"	"11 P1L 1"
#UNRESOLVED	1	"P1P"	"PP"	"111 P1P 11"
#UNRESOLVED	1	"P1R."	"PR."	"7\n\t\t\tP1R. 11"
#UNRESOLVED	1	"P1ac. It."	"Pac. It."	"21 P1ac. It. 1079"
#UNRESOLVED	1	"P1ac. PRp)."	"Pac. PRp)."	"2 P1ac. PRp). 7"
#UNRESOLVED	1	"P1ae. C L. J."	"Pae. C L. J."	"9 P1ae. C L. J. 262"
#UNRESOLVED	1	"P1ainge (N. Y.)"	"Painge (N. Y.)"	"4 P1ainge (N. Y.) 127"
#UNRESOLVED	1	"P1aliner, ."	"Paliner, ."	"250\n\t\t\tP1aliner, . 260"
#UNRESOLVED	1	"P1an doitpd siln"	"Pan doitpd siln"	"0 P1an doitpd siln 11"
#UNRESOLVED	1	"P1art"	"Part"	"232\n\t\t\tP1art 1"
#UNRESOLVED	1	"P1ayine . Kogers"	"Payine . Kogers"	"6 P1ayine . Kogers, 2"
#UNRESOLVED	1	"P1c.."	"Pc.."	"27 P1c.. 1217"
#UNRESOLVED	1	"P1cin. St."	"Pcin. St."	"51 P1cin. St. 2321"
#UNRESOLVED	1	"P1ckett, ."	"Pckett, ."	"8 P1ckett, . 519"
#UNRESOLVED	1	"P1ct."	"Pct."	"6 P1ct. 317"
#UNRESOLVED	1	"P1d."	"Pd."	"5 P1d. 327"
#UNRESOLVED	1	"P1ein. St."	"Pein. St."	"27 P1ein. St. 288"
#UNRESOLVED	1	"P1en. Rep."	"Pen. Rep."	"31 P1en. Rep.\n\t\t\t2"
#UNRESOLVED	1	"P1enL. R."	"PenL. R."	"28 P1enL. R. 73"
#UNRESOLVED	1	"P1end."	"Pend."	"9 P1end. 508"
#UNRESOLVED	1	"P1enii. St."	"Penii. St."	"27 P1enii. St., 29"
#UNRESOLVED	1	"P1errv & )."	"Perrv & )."	"1 P1errv & ). 590"
#UNRESOLVED	1	"P1helps a. BeHows"	"Phelps a. BeHows"	"302 P1helps a. BeHows 271"
#UNRESOLVED	1	"P1i."	"Pi."	"73 P1i. 153"
#UNRESOLVED	1	"P1iIL"	"PiIL"	"2 P1iIL 575"
#UNRESOLVED	1	"P1id."	"Pid."	"32 P1id. 723"
#UNRESOLVED	1	"P1ie"	"Pie"	"4 P1ie, 46"
#UNRESOLVED	1	"P1ige"	"Pige"	"2 P1ige, 24"
#UNRESOLVED	1	"P1il. Ev."	"Pil. Ev."	"2 P1il. Ev., 198"
#UNRESOLVED	1	"P1illl."	"Pilll."	"2 P1illl. 42"
